sample	R1	R2	score
18_WC_1_a_56	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_003_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_003_S1_L005_R2_001.fastq.gz	-1
13_P_7_A_4	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_030_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_030_S1_L005_R2_001.fastq.gz	1
15_JHL_125_A_4	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_031_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_031_S1_L005_R2_001.fastq.gz	1
15_JHL_126_A_14	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_032_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_032_S1_L005_R2_001.fastq.gz	1
15_JHL_126_A_22	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_033_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_033_S1_L005_R2_001.fastq.gz	1
15_JHL_127_A_21	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_034_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_034_S1_L005_R2_001.fastq.gz	1
15_JHL_127_A_8	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_035_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_035_S1_L005_R2_001.fastq.gz	1
15_JHL_128_A_1	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_036_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_036_S1_L005_R2_001.fastq.gz	1
15_JHL_137_A_3	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_037_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_037_S1_L005_R2_001.fastq.gz	1
15_JHL_140_A_1	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_038_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_038_S1_L005_R2_001.fastq.gz	1
92_PD_20_b_1	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_039_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_039_S1_L005_R2_001.fastq.gz	1
92_PD_20_b_16	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_040_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_040_S1_L005_R2_001.fastq.gz	1
92_PD_27_C_17	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_041_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_041_S1_L005_R2_001.fastq.gz	1
92_PD_27_C_24	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_042_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_042_S1_L005_R2_001.fastq.gz	1
ROYAL	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_044_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_044_S1_L005_R2_001.fastq.gz	1
CHICAGO	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_046_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_046_S1_L005_R2_001.fastq.gz	1
